Name;PotD;HoH;EO;Id;Aggro;DangerLevel;Patrol;BossOrAdd;Special
spriggan;;;;91;;;;;
Antares;;;;92;;;;;
Sargas;;;;93;;;;;
Shaula;;;;94;;;;;
flux flan;;;;95;;;;;
hecatoncheir overseer;;;;96;;;;;
hecatoncheir stonehauler;;;;97;;;;;
hecatoncheir shockblocker;;;;98;;;;;
hecatoncheir piledriver;;;;99;;;;;
hecatoncheir blastmaster;;;;100;;;;;
Gyges the Great;;;;101;;;;;
Ixali swordfighter;;;;102;;;;;
Ixali boldwing;;;;103;;;;;
Ixali swiftbeak;;;;104;;;;;
Ixali fogcaller;;;;105;;;;;
coeurl;;;;106;;;;;
mandragora;;;;107;;;;;
gravedigger;;;;109;;;;;
skeleton soldier;;;;110;;;;;
Deepcroft miteling;;;;111;;;;;
lesser kalong;;;;112;;;;;
earth sprite;;;;113;;;;;
ice sprite;;;;114;;;;;
wind sprite;;;;115;;;;;
fire sprite;;;;116;;;;;
lightning sprite;;;;117;;;;;
midge swarm;;;;118;;;;;
Octavel the Unforgiving;;;;119;;;;;
anole;;;;120;;;;;
Redbelly swarmpoint;;;;121;;;;;
Redbelly stinger;;;;122;;;;;
toxic battrap;;;;123;;;;;
toxic flytrap;;;;124;;;;;
pus gnat;;;;125;;;;;
giant slug;;;;126;;;;;
enormous slug;;;;127;;;;;
treant sapling;;;;128;;;;;
firefly;;;;129;;;;;
lindwurm;;;;130;;;;;
crater golem;;;;131;;;;;
smoke bomb;;;;132;;;;;
giant bat;;;;133;;;;;
tainted earth sprite;;;;134;;;;;
tainted wind sprite;;;;135;;;;;
tainted water sprite;;;;136;;;;;
wandering bones;;;;137;;;;;
Redbelly jack;;;;138;;;;;
Coeurlclaw hunter;;;;139;;;;;
Coeurlclaw poacher;;;;140;;;;;
parasite funguar;;;;141;;;;;
young antelope stag;;;;142;;;;;
Ak-Inik varlet;;;;143;;;;;
Ak-Mena varlet;;;;144;;;;;
carrion beetle;;;;145;;;;;
fleshfly swarm;;;;146;;;;;
croftlight;;;;147;;;;;
void lamp;;;;148;;;;;
horde mite;;;;149;;;;;
bastard mite;;;;150;;;;;
tainted louse;;;;151;;;;;
void flame;;;;152;;;;;
prison pteroc;;;;153;;;;;
Mun-Tuy sapling;;;;154;;;;;
mitetrap;;;;155;;;;;
gaoler's lantern;;;;156;;;;;
cell mite;;;;157;;;;;
prison pudding;;;;158;;;;;
widow's suitor;;;;159;;;;;
Sylphlands buzzard;;;;160;;;;;
pit boar;;;;161;;;;;
milkroot sapling;;;;162;;;;;
Sylphlands sentinel;;;;163;;;;;
dreamtoad;;;;164;;;;;
milkroot cluster;;;;165;;;;;
sylph bonnet;;;;166;;;;;
sylpheed dream;;;;167;;;;;
hoverfly swarm;;;;168;;;;;
Coeurlclaw cutter;;;;169;;;;;
deepvoid deathmouse;;;;170;;;;;
lesser kalong;;;;171;;;;;
Redbelly larcener;;;;172;Proximity;Easy;;;
anole familiar;;;;173;;;;;
watchwolf;;;;174;;;;;
poisonous flytrap;;;;175;;;;;
foraging doe;;;;176;;;;;
leafbleed slug;;;;177;;;;;
leafbleed mite;;;;178;;;;;
Shroudbee swarm;;;;179;;;;;
leafbleed roseling;;;;180;;;;;
carrion chigoe;;;;181;;;;;
zombie pikeman;;;;182;;;;;
North Shroud lemur;;;;183;;;;;
South Shroud opo-opo;;;;184;;;;;
Janremi Blackheart;;;;185;;;;;
hedge knight;;;;186;;;;;
marshlight;;;;187;;;;;
saprophagous slug;;;;188;;;;;
Ailbert the Lost;;;;189;;;;;
Ixali scout;;;;190;;;;;
dewdrinker ladybug;;;;191;;;;;
Ixali dulltalon;;;;192;;;;;
Ixali lostwing;;;;193;;;;;
Ixali slowbeak;;;;194;;;;;
hoglet;;;;195;;;;;
black eft;;;;196;;;;;
bog yarzon;;;;197;;;;;
nutbreaker squirrel;;;;198;;;;;
stumbling funguar;;;;199;;;;;
carrier ladybug;;;;200;;;;;
syrphid cloud;;;;201;;;;;
greedy hoglet;;;;202;;;;;
leathervine microchu;;;;203;;;;;
russet yarzon;;;;204;;;;;
mottled eft;;;;205;;;;;
anole stalker;;;;206;;;;;
floating eye;;;;207;;;;;
Ixali lightwing;;;;208;;;;;
Ixali deftalon;;;;209;;;;;
Ixali straightbeak;;;;210;;;;;
glowfly;;;;211;;;;;
pack wolf;;;;212;;;;;
strangling ivy;;;;213;;;;;
overgrown ivy;;;;214;;;;;
overgrown offering;;;;215;;;;;
toxic toad;;;;216;;;;;
laughing toad;;;;217;;;;;
Qiqirn scrambler;;;;218;;;;;
Qiqirn beater;;;;219;;;;;
faerie funguar;;;;220;;;;;
brood ziz;;;;221;;;;;
molted ziz;;;;222;;;;;
ziz gorlin;;;;223;;;;;
ziz;;;;224;;;;;
goblin hunter;;;;225;;;;;
river yarzon;;;;226;;;;;
yarzon scavenger;;;;227;;;;;
bark eft;;;;228;;;;;
sylvan scream;;;;229;;;;;
sylvan sough;;;;230;;;;;
sylvan groan;;;;231;;;;;
diseased treant;;;;232;;;;;
old-growth treant;;;;233;;;;;
smallmouth orobon;;;;234;;;;;
bigmouth orobon;;;;235;;;;;
revenant;;;;236;;;;;
morbol;;;;237;;;;;
stroper;;;;238;;;;;
raptor poacher;;;;239;;;;;
boar poacher;;;;240;;;;;
wolf poacher;;;;241;;;;;
ahriman;;;;242;;;;;
iron tortoise;;;;243;;;;;
giant tortoise;;;;244;;;;;
Amalj'aa lancer;;;;245;;;;;
Amalj'aa impaler;;;;246;;;;;
Amalj'aa javelinier;;;;247;;;;;
Amalj'aa halberdier;;;;248;;;;;
Amalj'aa archer;;;;249;;;;;
Amalj'aa hunter;;;;250;;;;;
Amalj'aa ranger;;;;251;;;;;
Amalj'aa sniper;;;;252;;;;;
Amalj'aa pugilist;;;;253;;;;;
Amalj'aa striker;;;;254;;;;;
Glassjaw Nazagg Gah;;;;255;;;;;
Amalj'aa bruiser;;;;256;;;;;
Diamondjaw Nezedd Gah;;;;257;;;;;
Amalj'aa thaumaturge;;;;258;;;;;
Amalj'aa seer;;;;259;;;;;
Amalj'aa divinator;;;;260;;;;;
clockwork spider;;;;261;;;;;
star marmot;;;;262;;;;;
dreadwolf;;;;263;;;;;
sundrake;;;;264;;;;;
sandtoad;;;;265;;;;;
Qiqirn shellsweeper;;;;266;;;;;
Allagan naga;;;;267;;;;;
Qiqirn roerunner;;;;268;;;;;
magitek vanguard;;;;269;;;;;
grenade;;;;270;;;;;
golden fleece;;;;271;;;;;
phurble;;;;272;;;;;
myotragus billy;;;;273;;;;;
myotragus nanny;;;;274;;;;;
quartz doblyn;;;;275;;;;;
rusty coblyn;;;;276;;;;;
copper coblyn;;;;277;;;;;
lead coblyn;;;;278;;;;;
sun bat;;;;279;;;;;
sandstone golem;;;;280;;;;;
axe beak;;;;281;;;;;
hammer beak;;;;282;;;;;
goblin mugger;;;;283;;;;;
yarzon feeder;;;;284;;;;;
russet yarzon;;;;285;;;;;
sabotender;;;;286;;;;;
cactuar;;;;287;;;;;
cochineal cactuar;;;;288;;;;;
eft;;;;289;;;;;
sandworm;;;;290;;;;;
ouroboros;;;;291;;;;;
antling soldier;;;;292;;;;;
antling sentry;;;;293;;;;;
antling worker;;;;294;;;;;
simurgh;;;;295;;;;;
bumble beetle;;;;296;;;;;
magitek colossus;;;;297;;;;;
sun midge swarm;;;;298;;;;;
nesting buzzard;;;;299;;;;;
cove buzzard;;;;300;;;;;
chasm buzzard;;;;301;;;;;
dusty mongrel;;;;302;;;;;
sandskin peiste;;;;303;;;;;
basilisk;;;;304;;;;;
desert peiste;;;;305;;;;;
tuco-tuco;;;;306;;;;;
angler;;;;307;;;;;
orobon;;;;308;;;;;
bloated bogy;;;;309;;;;;
Moondrip stonehauler;;;;310;;;;;
Amajina stonehauler;;;;311;;;;;
Moondrip blastmaster;;;;312;;;;;
Amajina blastmaster;;;;313;;;;;
Moondrip piledriver;;;;314;;;;;
Amajina piledriver;;;;315;;;;;
bomb;;;;316;;;;;
spriggan graverobber;;;;317;;;;;
snapping shrew;;;;318;;;;;
rotting corpse;;;;319;;;;;
fallen soldier;;;;320;;;;;
fallen pikeman;;;;321;;;;;
rotting noble;;;;322;;;;;
fallen mage;;;;323;;;;;
fallen wizard;;;;324;;;;;
Deathstroke assassin;;;;325;;;;;
Quiveron guard;;;;326;;;;;
Venomtongue assassin;;;;327;;;;;
Baron von Quiveron III Esquire;;;;328;;;;;
Straightshot assassin;;;;329;;;;;
Quiveron attendant;;;;330;;;;;
Corpse Brigade knuckledancer;;;;331;;;;;
Corpse Brigade firedancer;;;;332;;;;;
Corpse Brigade pikedancer;;;;333;;;;;
Noble Whoresons smuggler;;;;334;;;;;
Noble Whoresons ringleader;;;;335;;;;;
Noble Whoresons penman;;;;336;;;;;
tempered gladiator;;;;337;;;;;
tempered champion;;;;338;;;;;
tempered orator;;;;339;;;;;
archelon;;;;340;;;;;
apkallu;;;;341;;;;;
shallowtail Reaver;;;;342;;;;;
Aermswys the Stained;;;;343;;;;;
shallowclaw Reaver;;;;344;;;;;
shelfclaw Reaver;;;;345;;;;;
shallowscale Reaver;;;;346;;;;;
shelfscale Reaver;;;;347;;;;;
shalloweye Reaver;;;;348;;;;;
rivertoad;;;;349;;;;;
Qiqirn eggdigger;;;;350;;;;;
Qiqirn gullroaster;;;;351;;;;;
jungle coeurl;;;;352;;;;;
goobbue;;;;353;;;;;
mossless goobbue;;;;354;;;;;
mildewed goobbue;;;;355;;;;;
mossy goobbue;;;;356;;;;;
aurochs;;;;357;;;;;
wounded aurochs;;;;358;;;;;
great buffalo;;;;359;;;;;
sea wasp;;;;360;;;;;
Bloodshore bell;;;;361;;;;;
drifting aurelia;;;;362;;;;;
dusk bat;;;;363;;;;;
cave bat;;;;364;;;;;
basalt golem;;;;365;;;;;
giant pelican;;;;366;;;;;
goblin fisher;;;;367;;;;;
kobold dustman;;;;368;;;;;
kobold pitman;;;;369;;;;;
kobold pickman;;;;370;;;;;
kobold priest;;;;371;;;;;
kobold supplicant;;;;372;;;;;
kobold missionary;;;;373;;;;;
kobold deacon;;;;374;;;;;
kobold bedesman;;;;375;;;;;
kobold sidesman;;;;376;;;;;
kobold roundsman;;;;377;;;;;
kobold potman;;;;378;;;;;
kobold patrolman;;;;379;;;;;
kobold footman;;;;380;;;;;
forest yarzon;;;;381;;;;;
waterskipper;;;;382;;;;;
yarzon bleeder;;;;383;;;;;
shelfclaw Sahagin;;;;384;;;;;
trenchclaw Sahagin;;;;385;;;;;
shelfscale Sahagin;;;;386;;;;;
North Tidegate grieve;;;;387;;;;;
trenchfang Sahagin;;;;388;;;;;
shelfspine Sahagin;;;;389;;;;;
South Tidegate grieve;;;;390;;;;;
salamander;;;;391;;;;;
lost lamb;;;;392;;;;;
wild dodo;;;;393;;;;;
fat dodo;;;;394;;;;;
bee cloud;;;;395;;;;;
dung midge swarm;;;;396;;;;;
condor;;;;397;;;;;
highland condor;;;;398;;;;;
wild jackal;;;;399;;;;;
roseling;;;;400;;;;;
puk hatchling;;;;401;;;;;
puk hatchling;;;;402;;;;;
hedgemole;;;;403;;;;;
bogy;;;;404;;;;;
tiny mandragora;;;;405;;;;;
raincatcher mandragora;;;;406;;;;;
ringtail;;;;407;;;;;
galago;;;;408;;;;;
Moraby mole;;;;409;;;;;
sewer mole;;;;410;;;;;
grass raptor;;;;411;;;;;
velociraptor;;;;412;;;;;
Mamool Ja executioner;;;;413;;;;;
Mamool Ja breeder;;;;414;;;;;
Mamool Ja sophist;;;;415;;;;;
Mamool Ja infiltrator;;;;416;;;;;
wharf rat;;;;417;;;;;
grounded raider;;;;418;;;;;
Captain Petyr Pigeontoe;;;;419;;;;;
Rhotano buccaneer;;;;420;;;;;
grounded pirate;;;;421;;;;;
Lady Amandine;;;;422;;;;;
manor claviger;;;;423;;;;;
lady's handmaiden;;;;424;;;;;
lady's candle;;;;425;;;;;
manor jester;;;;426;;;;;
manor steward;;;;427;;;;;
manor sentry;;;;428;;;;;
manor chef;;;;429;;;;;
attic bat;;;;430;;;;;
attack hound;;;;431;;;;;
carpet stain;;;;432;;;;;
divan mold;;;;433;;;;;
manor servitor;;;;434;;;;;
corpsefly;;;;435;;;;;
Ixali windtalon;;;;436;;;;;
fleshy pod;;;;437;;;;;
prisoner's delight;;;;438;;;;;
sticky web;;;;439;;;;;
Graffias's tail;;;;440;;;;;
warden's whip;;;;441;;;;;
Coeurl o' Nine Tails;;;;442;;;;;
comesmite;;;;443;;;;;
Graffias;;;;444;;;;;
stagnant water sprite;;;;445;;;;;
Asipatra;;;;446;;;;;
Matagaigai;;;;447;;;;;
Lou Carcolh;;;;448;;;;;
Jackanapes;;;;449;;;;;
Spenser of the Bottomless Cup;;;;450;;;;;
Yabi Two-tails;;;;451;;;;;
Curupira;;;;452;;;;;
Wood Wailer sentry;;;;453;;;;;
disorderly adventurer;;;;454;;;;;
void soulcounter;;;;455;;;;;
inconspicuous imp;;;;456;;;;;
unbalanced bandit;;;;457;;;;;
foraging doe;;;;458;;;;;
vile gnat;;;;459;;;;;
foraging stag;;;;460;;;;;
banemite;;;;461;;;;;
snapscales;;;;462;;;;;
slithertwine;;;;463;;;;;
goblin outlaw;;;;464;;;;;
Stikflix Grumblytoss;;;;465;;;;;
domesticated banemite;;;;466;;;;;
fachan;;;;467;;;;;
pack ziz;;;;468;;;;;
milkroot mandragora;;;;469;;;;;
Briaxio of the Well;;;;470;;;;;
angry sow;;;;471;;;;;
rotting sentinel;;;;472;;;;;
mischief-maker imp;;;;473;;;;;
seven-year gnat;;;;474;;;;;
alpha stag;;;;475;;;;;
wanted goblin;;;;476;;;;;
lush morbol;;;;477;;;;;
Kupni Kapp;;;;478;;;;;
Guttrix Sliverpicks;;;;479;;;;;
figgy pudding;;;;480;;;;;
greatwing ked;;;;481;;;;;
nutcracker squirrel;;;;482;;;;;
lordless cutpurse;;;;483;;;;;
redcap;;;;484;;;;;
bark weevil;;;;485;;;;;
stinging syrphid cloud;;;;486;;;;;
suckling hoglet;;;;487;;;;;
lordless footpad;;;;488;;;;;
yarzon invader;;;;489;;;;;
midge cloud;;;;490;;;;;
wandering wisp;;;;491;;;;;
trickster imp;;;;492;;;;;
zombie Wailer;;;;493;;;;;
wight Wailer;;;;494;;;;;
leafbleed diremite;;;;495;;;;;
leafbleed banemite;;;;496;;;;;
leafbleed ochu;;;;497;;;;;
Zezeroon Stickyfingers;;;;498;;;;;
lunging lemur;;;;499;;;;;
trancetoad;;;;500;;;;;
despicable devilet;;;;501;;;;;
greedy hog;;;;502;;;;;
plump orobon;;;;503;;;;;
loam bogy;;;;504;;;;;
leafbleed morbol;;;;505;;;;;
spawning adamantoise;;;;506;;;;;
orphaned sylph;;;;507;;;;;
angered elm;;;;508;;;;;
thickfur doe;;;;509;;;;;
imperial assault craft;;;;510;;;;;
barricade;;;;511;;;;;
Alux;;;;512;;;;;
Prince of Pestilence;;;;513;;;;;
Sirocco;;;;514;;;;;
Coeurlclaw King;;;;515;;;;;
Dschubba;;;;516;;;;;
Miraudont the Madder;;;;517;;;;;
serpent recruit;;;;518;;;;;
Greatloam farmer;;;;519;;;;;
crestfallen merchant;;;;520;;;;;
guild-issue supplies;;;;521;;;;;
Mun-Tuy sack;;;;522;;;;;
hive gate;;;;523;;;;;
bothered beekeeper;;;;524;;;;;
befuddled beekeeper;;;;525;;;;;
Wood Wailer lance;;;;526;;;;;
local hunter;;;;527;;;;;
North Shroud opo-opo;;;;528;;;;;
abused adventurer;;;;529;;;;;
au courant adventurer;;;;530;;;;;
Little Solace sylph;;;;531;;;;;
Coeurlclaw concubine;;;;532;;;;;
shifty-eyed prospector;;;;533;;;;;
frightened stag;;;;534;;;;;
Jackanapes's bean-bearer;;;;535;;;;;
sylph pillow;;;;536;;;;;
首;;;;537;;;;;
tempered sylph;;;;538;;;;;
lunar golem;;;;539;;;;;
Redbelly conspirator;;;;540;;;;;
striking dummy;;;;541;;;;;
charging hog;;;;542;;;;;
enchanted funguar;;;;543;;;;;
longclaw galago;;;;544;;;;;
honeydipper imp;;;;545;;;;;
3rd Cohort bestiarius;;;;546;;;;;
Redbelly gatewatch;;;;547;;;;;
Kottos;;;;548;;;;;
Redbelly navvy;;;;549;;;;;
Coeurlclaw trapper;;;;550;;;;;
goblin robber;;;;551;;;;;
stone golem;;;;552;;;;;
honeybee swarm;;;;553;;;;;
Ichorous Ire;;;;554;;;;;
blasting cap;;;;555;;;;;
Wood Wailer captain;;;;556;;;;;
the Black Eft;;;;557;;;;;
Nunyunuwi;;;;558;;;;;
shelfeye Reaver;;;;559;;;;;
snipper;;;;560;;;;;
megalocrab;;;;561;;;;;
kobold quarryman;;;;562;;;;;
aurelia;;;;563;;;;;
potter wasp swarm;;;;564;;;;;
trenchtooth Sahagin;;;;565;;;;;
midland condor;;;;566;;;;;
Sylphlands condor;;;;567;;;;;
Maisenta Hawke;;;;568;;;;;
Hastridie Hawke;;;;569;;;;;
Qiqirn beachcomber;;;;570;;;;;
Thavnairian miteling;;;;571;;;;;
Thavnairian mite;;;;572;;;;;
sweet trap;;;;573;;;;;
snipping shrew;;;;574;;;;;
silver coblyn;;;;575;;;;;
spriggan chumbler;;;;576;;;;;
untamed shrew;;;;577;;;;;
Redbelly lookout;;;;579;;;;;
Redbelly sharpeye;;;;580;;;;;
Keroucene the Betrayer;;;;581;;;;;
Keroucene's lackey;;;;582;;;;;
sylvan budnapper;;;;583;;;;;
3rd Cohort bestiarius;;;;584;;;;;
Coeurlclaw catspaw;;;;585;;;;;
3rd Cohort bestiarius;;;;586;;;;;
buzzing djigga;;;;587;;;;;
Mun-Tuy lemur;;;;588;;;;;
dwarf diremite;;;;589;;;;;
northern vulture;;;;590;;;;;
glowering glowfly;;;;591;;;;;
lumber toad;;;;592;;;;;
honeybee swarm;;;;593;;;;;
tainted wind sprite;;;;594;;;;;
ocher jelly;;;;595;;;;;
Akoman;;;;596;;;;;
Nezul Cattlan the Violator;;;;597;;;;;
Leih Aliapoh;;;;598;;;;;
Silvairre the Virtuous;;;;599;;;;;
Pawah Mujuuk the Ghost;;;;600;;;;;
Coeurlclaw falconer;;;;601;;;;;
hunting falcon;;;;602;;;;;
riverbank yarzon;;;;603;;;;;
Spirithold glowfly;;;;604;;;;;
young anole;;;;605;;;;;
lockbreaker imp;;;;606;;;;;
angered elm;;;;607;;;;;
alpha wolf;;;;608;;;;;
soft-spoken lancer;;;;609;;;;;
grizzled lancer;;;;610;;;;;
sharp-eyed lancer;;;;611;;;;;
blood bat;;;;612;;;;;
red balloon;;;;613;;;;;
Foulques of the Mist;;;;614;;;;;
wild-eyed treant;;;;615;;;;;
clay golem;;;;616;;;;;
masked mage;;;;617;;;;;
Drooling Daisy;;;;618;;;;;
Yda;;;;619;;;;;
Papalymo;;;;620;;;;;
Gods' Quiver bow;;;;621;;;;;
Wood Wailer lance;;;;622;;;;;
lumber toad;;;;623;;;;;
servitor's lantern;;;;625;;;;;
Foulques;;;;626;;;;;
Thibain the Blunt;;;;627;;;;;
Sylphie Sweetwind;;;;628;;;;;
Copperbell coblyn;;;;629;;;;;
Mark XLIII anti-aircraft cannon;;;;630;;;;;
spriggan copper copper;;;;631;;;;;
huge hornet;;;;632;;;;;
manor maidservant;;;;633;;;;;
mirrorknight;;;;634;;;;;
scaphite;;;;635;;;;;
thickshell;;;;636;;;;;
dragonfly;;;;637;;;;;
stoneshell;;;;638;;;;;
colibri;;;;639;;;;;
pugil;;;;640;;;;;
wespe;;;;641;;;;;
mud pugil;;;;642;;;;;
uragnite;;;;643;;;;;
killer mantis;;;;644;;;;;
mudpuppy;;;;645;;;;;
gigas bonze;;;;646;;;;;
gigas shramana;;;;647;;;;;
gigas sozu;;;;648;;;;;
gigas bhikkhu;;;;649;;;;;
daring harrier;;;;650;;;;;
raging harrier;;;;651;;;;;
hexing harrier;;;;652;;;;;
snow wolf;;;;653;;;;;
bull behemoth;;;;654;;;;;
behemoth;;;;655;;;;;
wyvern;;;;656;;;;;
thrustaevis;;;;657;;;;;
vodoriga;;;;658;;;;;
snow wolf pup;;;;659;;;;;
Ixali wildtalon;;;;660;;;;;
Ixali stillbeak;;;;661;;;;;
Ixali boundwing;;;;662;;;;;
Ixali fearcaller;;;;663;;;;;
Aldis;;;;668;;;;;
menacing mercenary;;;;674;;;;;
mindful mercenary;;;;675;;;;;
Mamool Ja mercenary;;;;676;;;;;
Mamool Ja mercenary;;;;677;;;;;
rat king;;;;678;;;;;
ラベル削除予定;;;;679;;;;;
bigger chigoe;;;;680;;;;;
even bigger chigoe;;;;681;;;;;
muttonmaw ogre;;;;682;;;;;
ラベル削除予定;;;;683;;;;;
cork bulb;;;;684;;;;;
Dravanian outwatch;;;;685;;;;;
drive cylinder;;;;686;;;;;
hoary goobbue;;;;687;;;;;
gurangatch;;;;688;;;;;
Mylla Swordsong;;;;689;;;;;
Aldis, Sword of Nald;;;;690;;;;;
rimy biast;;;;691;;;;;
brutish imp;;;;692;;;;;
gruesome gargoyle;;;;693;;;;;
gnarled gargoyle;;;;694;;;;;
Ascian conjurer;;;;695;;;;;
hornet cloud;;;;696;;;;;
Ascian thaumaturge;;;;697;;;;;
Zana Lyehga;;;;698;;;;;
malevolent fungus;;;;699;;;;;
malevolent squirrel;;;;700;;;;;
malevolent galago;;;;701;;;;;
malevolent ked;;;;702;;;;;
malevolent ochu;;;;703;;;;;
malevolent seedling;;;;704;;;;;
malevolent stroper;;;;705;;;;;
bone dragon;;;;706;;;;;
platinal;;;;707;;;;;
Gotwin Halehex;;;;708;;;;;
void slave;;;;709;;;;;
Thanatos;;;;710;;;;;
nemesis;;;;711;;;;;
magic pot;;;;712;;;;;
Thancred;;;;713;;;;;
Owyne;;;;714;;;;;
Papashan;;;;715;;;;;
spriggan sifter;;;;716;;;;;
Garibald;;;;717;;;;;
Whiskerwall Kupdi Koop;;;;718;;;;;
Ruffletuft Kupta Kapa;;;;719;;;;;
Furryfoot Kupli Kipp;;;;720;;;;;
Woolywart Kupqu Kogi;;;;721;;;;;
Pukla Puki the Pomburner;;;;722;;;;;
Puksi Piko the Shaggysong;;;;723;;;;;
Pukna Pako the Tailturner;;;;724;;;;;
Good King Moggle Mog XII;;;;725;;;;;
masked mage;;;;726;;;;;
king behemoth;;;;727;;;;;
puroboros;;;;728;;;;;
Y'shtola;;;;729;;;;;
iron giant;;;;730;;;;;
comet;;;;731;;;;;
Phlegethon;;;;732;;;;;
iron claws;;;;733;;;;;
Eugennoix;;;;734;;;;;
Ryssfloh;;;;735;;;;;
fire homunculus;;;;736;;;;;
ice homunculus;;;;737;;;;;
wind homunculus;;;;738;;;;;
earth homunculus;;;;739;;;;;
lightning homunculus;;;;740;;;;;
water homunculus;;;;741;;;;;
Lewein;;;;742;;;;;
Miraudont;;;;743;;;;;
Ixali chieftain;;;;744;;;;;
???;;;;750;;;;;
Hamon Holyfist;;;;751;;;;;
Kuplu Kopo;;;;752;;;;;
Temperance of the Alacran;;;;756;;;;;
Kindness of the Alacran;;;;757;;;;;
Cocobusi the Cross;;;;758;;;;;
Fufulupa;;;;761;;;;;
Baldewyn;;;;762;;;;;
Ser Eolande Quiveron;;;;763;;;;;
soulsucker imp;;;;765;;;;;
seemingly ordinary imp;;;;766;;;;;
stalwart swordsman;;;;767;;;;;
Galfrid the Gallant;;;;768;;;;;
軍曹;;;;776;;;;;
二等兵A;;;;777;;;;;
二等兵B;;;;778;;;;;
二等兵C;;;;779;;;;;
chocobo;;;;780;;;;;
void jumper;;;;781;;;;;
void herald;;;;782;;;;;
void dross;;;;783;;;;;
feral croc;;;;784;;;;;
giant logger;;;;785;;;;;
giant lugger;;;;786;;;;;
giant reader;;;;787;;;;;
biast;;;;788;;;;;
hippogryph;;;;789;;;;;
hippocerf;;;;790;;;;;
snowstorm yeti;;;;791;;;;;
yeti;;;;792;;;;;
hapalit;;;;793;;;;;
redhorn ogre;;;;794;;;;;
ornery karakul;;;;795;;;;;
wold wolf;;;;796;;;;;
キラーマシン;;;;797;;;;;
帝国兵隊長;;;;801;;;;;
Ahtzapfyn the Absorbed;;;;811;;;;;
silent lackey;;;;812;;;;;
Mamool Ja mercenary;;;;813;;;;;
Mamool Ja mercenary head;;;;814;;;;;
Storm Captain Ghimthota Sthalmoenwyn;;;;815;;;;;
Storm Private C'nangho Enah;;;;816;;;;;
silent lackey;;;;817;;;;;
Mamool Ja mercenary;;;;818;;;;;
valefor;;;;820;;;;;
valar;;;;821;;;;;
greater demon;;;;822;;;;;
Chuchuto Brightstar;;;;823;;;;;
Solkwyb the Enlightened;;;;824;;;;;
